iter	MultiClass
158	0.09585053111
159	0.09552133586
160	0.09522174247
161	0.0948873727
162	0.09455495886
163	0.09421612975
164	0.0939442395
165	0.09365069849
166	0.09341341716
167	0.09314965375
168	0.09281606187
169	0.09253272131
170	0.09221435267
171	0.09192575601
172	0.09168867523
173	0.09137416169
174	0.09110143086
175	0.09083205359
176	0.09058145323
177	0.09031601299
178	0.09009337548
179	0.08980485385
180	0.08954194663
181	0.08930669152
182	0.08903913511
183	0.08879658084
184	0.08853620163
185	0.08827732204
186	0.08804906671
187	0.08788162545
188	0.08765517358
189	0.08746959249
190	0.08726823369
191	0.08709586689
192	0.08690840461
193	0.08667504615
194	0.08646034544
195	0.08623616385
196	0.08609602916
197	0.08589479462
198	0.08575999955
199	0.08561940119
200	0.08541417677
201	0.08518427741
202	0.0850086363
203	0.08482255001
204	0.08465231974
205	0.0844969948
206	0.08432322272
207	0.08416226029
208	0.08397453187
209	0.08377320077
210	0.08356429299
211	0.08338434509
212	0.08317866605
213	0.08295845082
214	0.08283540847
215	0.08269633172
216	0.08255910818
217	0.08239935147
218	0.08227341134
219	0.08214972536
220	0.0819695455
221	0.08184073094
222	0.08165941541
223	0.08147893968
224	0.08135750872
225	0.08123655124
226	0.08108190047
227	0.08089347259
228	0.08065067663
229	0.0805440239
230	0.0803618444
231	0.08018140992
232	0.08002622519
233	0.07984433387
234	0.07973909441
235	0.07955649847
236	0.07938861305
237	0.07924755896
238	0.07908798479
239	0.07896849847
240	0.07881691456
241	0.07871388878
242	0.07862890179
243	0.07850506958
244	0.07837450458
245	0.07826706757
246	0.07812997965
247	0.07803463751
248	0.07790693856
249	0.07779063024
250	0.07762084171
251	0.07743957909
252	0.07735006395
253	0.07722489632
254	0.07707537237
255	0.07699223295
256	0.07683057529
257	0.07675100897
258	0.07658844199
259	0.07651333844
260	0.07637198914
261	0.07624589973
262	0.07609540638
263	0.07593021573
264	0.07578204245
265	0.07568916372
266	0.07549212336
267	0.07537199608
268	0.07524546869
269	0.07513124141
270	0.07490835997
271	0.07480455222
272	0.0746594615
273	0.07458690333
274	0.0745239105
275	0.07441804703
276	0.07427996196
277	0.07417262295
278	0.0740652567
279	0.07396828819
280	0.07385308982
281	0.07375087866
282	0.07365104953
283	0.07355299779
284	0.07346468045
285	0.07338283434
286	0.07328789414
287	0.07317216271
288	0.07308008109
289	0.07300351374
290	0.07293856194
291	0.07281544334
292	0.07266469564
293	0.07260279223
294	0.07250553186
295	0.07238859625
296	0.07230035052
297	0.07218597635
298	0.07209488885
299	0.07199562491
300	0.07192169075
301	0.07183588539
302	0.0717589845
303	0.07164190762
304	0.07154835288
305	0.07145355566
306	0.07135671926
307	0.07130086708
308	0.07122692329
309	0.07113434283
310	0.07097000209
311	0.07087706159
312	0.0708103353
313	0.07072911982
314	0.07063862376
315	0.07055564642
316	0.07039406258
317	0.07029925953
318	0.07021510495
319	0.07015931986
320	0.0700974369
321	0.06998431736
322	0.06988601227
323	0.06982668996
324	0.06974828516
325	0.06968360889
326	0.06962174627
327	0.06953736632
328	0.06944183822
329	0.06937161775
330	0.06929137845
331	0.06918923905
332	0.06911068332
333	0.06900964487
334	0.06895539454
335	0.06885258931
336	0.06877683095
337	0.06870323322
338	0.06865274617
339	0.06857451003
340	0.06847978161
341	0.06840568026
342	0.06831080602
343	0.06822585122
344	0.06816609085
345	0.06811491703
346	0.06802207291
347	0.06792559455
348	0.06781684582
349	0.067732165
350	0.06763685439
351	0.06753047765
352	0.06746805739
353	0.06738295266
354	0.06730830096
355	0.0672089816
356	0.06711140943
357	0.06702391611
358	0.06697147992
359	0.06688686681
360	0.06683859158
361	0.0667614133
362	0.06666517452
363	0.06658258317
364	0.06651357986
365	0.06645122112
366	0.06633659928
367	0.06628831914
368	0.06619685306
369	0.06614059254
370	0.06602525966
371	0.06592217782
372	0.06576846444
373	0.06569333012
374	0.06561933213
375	0.06556864801
376	0.06549712695
377	0.06541634823
378	0.06534847303
379	0.06529214748
380	0.06525074321
381	0.06517502054
382	0.06511832429
383	0.06503981815
384	0.06491825678
385	0.06484604678
386	0.06479022368
387	0.06473925426
388	0.06462676392
389	0.0645570378
390	0.06448939323
391	0.06442445932
392	0.06432194961
393	0.06427961595
394	0.06417695801
395	0.06412883845
396	0.06402317689
397	0.06396657967
398	0.06390871871
399	0.06386710299
